id,GMCSF,MCF7,T47D,MDA-MB-231,UIVC1,UIVC4
1671,0,1.915024965,3.760801446,3.132625955,4.751803076,2.510594945
1672,0.9502389,2.39196052,0.467966121,1.566179299,0.948697958,1.500682817
1679,0,0,0,0,0,0
1680,1.920792221,2.894948259,1.880400723,1.036733419,1.897395916,1.490324495
1681,22.93196006,21.76266923,30.08834257,26.94818728,31.56249127,23.11912892
1682,2.386076521,2.921272106,2.340749423,4.141343516,2.873800248,4.470985944
1683,49.28185973,54.20230206,51.12459135,39.67372989,53.92672113,45.24955474
1694,0.948157113,0.959345504,0.940200362,3.12551184,0.957046069,2.980661449
1716,1.920792221,2.424899059,2.803803759,3.647319358,1.425149209,2.473259602
1754,528.6059565,601.4772151,656.7586141,304.8535441,645.7423225,654.4921836
1755,8.661409608,8.135142485,6.637831081,41.0998191,93.13444387,4.57917344
1756,2.373284111,0,0,0,0,0
1757,0,0,0,0,0,0
1758,44.03881351,64.17418433,55.51317196,63.17235089,89.78319499,30.11923014
1784,11.93234888,25.60354567,22.71295218,16.46465101,26.94618016,23.52811759
1797,1.909148861,2.866345659,2.820601085,8.334698239,2.882818941,4.967769081
1800,2.844471338,1.910897106,1.869202506,2.586285658,1.890917104,2.973366676
1811,9.513942306,19.14187595,13.12479811,33.9575316,9.49992693,19.1048506
1812,3.330978219,5.73237583,4.264661357,15.13535435,8.092228642,6.509748143
1813,0,0,0,9.914342856,0,0
1814,0,0,0.469778347,0,0,0.494351546
1815,0,0,0,0,0,0
1816,0.475582078,0.973757369,1.889756992,4.141343516,1.419592973,2.48389077
1819,13.9245379,14.39018257,13.12842256,11.48629517,11.40432738,8.138063972
1824,0.96004538,0.477566532,0.940200362,1.034955661,0.472117856,0.993553816
1842,3.326298778,0.488489658,2.829689375,2.084000816,0.9600523,1.983270614
1846,2.868181742,0.488489658,2.815164407,2.586285658,0.9600523,1.983270614
1852,3.794247687,3.821794212,2.803803759,3.104866984,3.314543208,2.973366676
1854,2.386076521,1.915024965,1.423611334,0.514114788,1.90072123,0.988703093
1855,1.894001162,0,0.940844028,1.043615037,0,0
1856,3.338212437,3.845213235,2.357087685,3.10776692,2.857131541,2.504545121
